"species","ecological_group","reassign"
"Anguillosyllis capensis",0,0
"Anguinella palmata",2,0
"Angulinides adanensis",1,0
"Angulus adenensis",1,0
"Angulus agilis",2,0
"Angulus compressissimus",1,0
"Angulus donacinus",1,0
"Angulus fabula",1,0
"Angulus incarnatus",1,0
"Angulus lanceolatus",1,0
"Angulus merus",1,0
"Angulus planatus",1,0
"Angulus pygmaeus",1,0
"Angulus squalidus",1,0
"Angulus tampaensis",1,0
"Angulus tenellus",1,0
"Angulus tenuis",1,0
"Angulus texanus",1,0
"Angulus vestalioides",1,0
"Angustassiminea californica",2,0
"Animoceradocus semiserratus",1,0
"Anisocardia isocardioides",2,0
"Anisocardia sp.",2,0
"Anisocorbula modesta",4,0
"Anisocorbula pallida",4,0
"Anisocorbula sp.",4,0
"Anisocorbula venusta",4,0
"Anisogammarus pugettensis",2,0
"Annachlamys sp.",1,0
"Anobothrus glandularis",3,0
"Anobothrus gracilis",3,0
"Anobothrus laubieri",1,0
"Anobothrus patagonicus",2,0
"Anodontia fragilis",1,0
"Anodontia steamsiana",1,0
"Anomalisipho altus",1,0
"Anomalocardia auberiana",1,0
"Anomalocardia brasiliana",1,0
"Anomalocardia flexuosa",1,0
"Anomalocardia puella",1,0
"Anomalocardia squamosa",1,0
"Anomalodiscus squamosus",1,0
"Anomia ephippium",1,0
"Anomia simplex",1,0
"Anomia sp.",1,1
"Anomia suprajurensis",2,0
"Anomiidae",1,1
"Anonyx laticoxae",2,0
"Anonyx lilljeborgi",2,0
"Anonyx lilljeborgii",2,0
"Anonyx nugax",2,0
"Anonyx pavlovskii",2,0
"Anonyx sarsi",2,0
"Anonyx sp.",2,0
"Anoplodactylus angulatus",2,0
"Anoplodactylus californicus",2,0
"Anoplodactylus erectus",2,0
"Anoplodactylus nodosus",2,0
"Anoplodactylus pacificus",2,0
"Anoplodactylus petiolatus",2,0
"Anoplodactylus pygmaeus",2,0
"Anoplodactylus sp.",2,0
"Anoplodactylus virescens",2,0
"Anoplodactylus viridintestinalis",2,0
"Anoplosyllis edentula",2,0
"Anoropallene palpida",1,0
"Anotomastus gordiodes",2,0
"Ansates pellucida",1,0
"Anseropoda placenta",1,0
"Antalis agilis",1,0
"Antalis dentalis",1,0
"Antalis entalis",1,0
"Antalis guillei",1,0
"Antalis inaequicostata",1,0
"Antalis novemcostata",1,0
"Antalis occidentalis",1,0
"Antalis panorma",1,0
"Antalis pretiosa",1,0
"Antalis rossati",1,0
"Antalis sp.",1,0
"Antalis vulgaris",1,0
"Antarcturus horridus serratus",1,0
"Antarcturus nonatoi",1,0
"Antennella secundaria",1,0
"Antennella sp.",1,0
"Anthoathecata",1,0
"Antholoba achates",2,0
"Anthopleura aureoradiata",3,0
"Anthopleura hermaphroditica",3,0
"Anthopleura sp.",2,1
"Anthothoe chilensis",0,0
"Anthozoa",2,0
"Anthroplana nigrensis",1,0
"Anthura gracilis",1,0
"Anthuridae",1,0
"Anticoma sp.",3,0
"Antigona lamellaris",1,0
"Antillesoma antillarum",1,0
"Antinoe finmarchica",1,0
"Antinoella finmarchica",1,0
"Antinoella sarsi",1,0
"Anurida maritima",0,0
"Aonidella cirrobranchiata",3,0
"Aonidella dayi",3,0
"Aonides mayaguezensis",3,0
"Aonides oxycephala",3,0
"Aonides paucibranchiata",3,0
"Aonides sp.",3,1
"Aonides trifida",1,0
"Aora gracilis",1,0
"Aora sp.",1,0
"Aora spinicornis",1,0
"Aora typica",1,0
"Aoridae",1,0
"Aoroides columbiae",2,0
"Aoroides exilis",2,0
"Aoroides inermis",2,0
"Aoroides intermedius",2,0
"Aoroides longimerus",2,0
"Aoroides secunda",2,0
"Aoroides sp.",2,0
"Aoroides spinosus",2,0
"Apanthura corsica",1,0
"Apanthura sandalensis",1,0
"Aphelochaeta cincinnata",4,0
"Aphelochaeta dearborni",4,0
"Aphelochaeta filiformis",3,0
"Aphelochaeta glandaria",4,0
"Aphelochaeta longisetosa",4,0
"Aphelochaeta marioni",4,0
"Aphelochaeta mcintoshi",4,0
"Aphelochaeta monilaris",4,0
"Aphelochaeta multibranchis",4,0
"Aphelochaeta multifilis",4,0
"Aphelochaeta pacifica",4,0
"Aphelochaeta palmeri",4,0
"Aphelochaeta petersenae",4,0
"Aphelochaeta serrata",3,0
"Aphelochaeta sp.",4,1
"Aphelochaeta spectabilis",4,0
"Aphelochaeta vivipara",4,0
"Aphelochaeta williamsae",4,0
"Apherusa alacris",1,0
"Apherusa bispinosa",1,0
"Apherusa chiereghinii",1,0
"Apherusa cirrus",1,0
"Apherusa henneguyi",1,0
"Apherusa jurinei",1,0
"Apherusa mediterranea",1,0
"Apherusa ovalipes",1,0
"Apherusa sarsii",1,0
"Apherusa sp.",1,0
"Aphrodita aculeata",1,0
"Aphrodita alta",1,0
"Aphrodita australis",1,0
"Aphrodita bisetosa",1,0
"Aphrodita brevitentaculata",1,0
"Aphrodita magellanica",1,0
"Aphrodita sp.",1,0
"Aphrodita talpa",1,0
"Aphrodora kurodai",2,0
"Apicularia guerini",1,0
"Apionsoma misakianum",2,0
"Apionsoma murinae",2,0
"Apionsoma sp.",2,0
"Apistobranchus glacierae",4,0
"Apistobranchus ornatus",1,0
"Apistobranchus sp.",1,1
"Apistobranchus tenuis",1,0
"Apistobranchus tullbergi",1,0
"Apistobranchus typicus",1,0
"Aplidium densum",2,0
"Aplidium glabrum",2,0
"Aplysia fasciata",1,0
"Aplysia punctata",1,0
"Aplysia sp.",1,0
"Aplysiopsis enteromorphae",1,0
"Apocorophium acutum",3,0
"Apocorophium lacustre",3,0
"Apocorophium louisianum",3,0
"Apocorophium simile",2,0
"Apocorophium sp.",3,1
"Apohyale grandicornis",1,0
"Apohyale perieri",1,0
"Apohyale prevostii",1,0
"Apohyale sp.",1,0
"Apolochus neapolitanus",2,0
"Apolochus sp.",2,0
"Apolochus spencebatei",2,0
"Apomatus similis",1,0
"Apomatus sp.",1,0
"Aponuphis bilineata",1,0
"Aponuphis bilineata grubii",1,0
"Aponuphis brementi",2,0
"Aponuphis fauveli",2,0
"Aponuphis grubii",1,0
"Aponuphis holobranchiata",2,0
"Aponuphis ornata",2,0
"Aponuphis sp.",2,1
"Aponuphis tubicola",2,0
"Aponuphis willsiei",2,0
"Aponuphis willsii",2,0
